ticker;weight;name;date;nominal;start_price;end_price;nb_shares;P&L (EUR);asset_name;sector;industry
GLE.PA;0.0380046061972681;Ptf1;2024-12-31;1000.0;26.244787216186523;68.72000122070312;1.448082085185613;61.507596464365555;Société Générale Société anonyme;Financial Services;Banks - Regional
BNP.PA;0.0688767354605568;Ptf1;2024-12-31;1000.0;53.809326171875;80.79000091552734;1.2800148294099476;34.535663779361435;BNP Paribas SA;Financial Services;Banks - Regional
HO.PA;0.0353468904465765;Ptf1;2024-12-31;1000.0;136.49542236328125;229.8000030517578;0.25896026280281464;24.162178735794313;Thales S.A.;Industrials;Aerospace & Defense
ENGI.PA;0.0408332477121078;Ptf1;2024-12-31;1000.0;14.098623275756836;22.40999984741211;2.8962578057052033;24.071889271811937;Engie SA;Utilities;Utilities - Diversified
ORA.PA;0.0279015767577583;Ptf1;2024-12-31;1000.0;9.102657318115234;14.199999809265137;3.0652122542536304;15.624436668000408;Orange S.A.;Communication Services;Telecom Services
ACA.PA;0.0376631079112032;Ptf1;2024-12-31;1000.0;12.441537857055664;17.549999237060547;3.027206792594715;15.464368989258553;Crédit Agricole S.A.;Financial Services;Banks - Regional
OR.PA;0.1360477783089231;Ptf1;2024-12-31;1000.0;335.7657165527344;366.6000061035156;0.4051866274666426;12.493641793410992;L'Oréal S.A.;Consumer Defensive;Household & Personal Products
DG.PA;0.0452736139710253;Ptf1;2024-12-31;1000.0;95.7994384765625;120.05000305175781;0.4725874670142411;11.460512886256838;Vinci SA;Industrials;Engineering & Construction
LR.PA;0.0234425457227704;Ptf1;2024-12-31;1000.0;92.1445541381836;127.25;0.2544105394184776;8.931195418230873;Legrand SA;Industrials;Electrical Equipment & Parts
EN.PA;0.0118932637867242;Ptf1;2024-12-31;1000.0;27.077911376953125;44.349998474121094;0.43922382421440886;7.586312146982463;Bouygues SA;Industrials;Engineering & Construction
MC.PA;0.1754247441623639;Ptf1;2024-12-31;1000.0;620.6163330078125;645.0;0.28266214540659795;6.892339624891766;LVMH Moët Hennessy - Louis Vuitton, Société Européenne;Consumer Cyclical;Luxury Goods
KER.PA;0.0210927376391623;Ptf1;2024-12-31;1000.0;230.12176513671875;299.8027038574219;0.09165902941267112;6.386887211703462;Kering SA;Consumer Cyclical;Luxury Goods
BN.PA;0.0299049085570833;Ptf1;2024-12-31;1000.0;63.30030059814453;76.77999877929688;0.4724291713388779;6.368202641619981;Danone S.A.;Consumer Defensive;Packaged Foods
AI.PA;0.0609813313891709;Ptf1;2024-12-31;1000.0;154.14547729492188;160.25999450683594;0.395608956288073;2.4189577724107805;L'Air Liquide S.A.;Basic Materials;Specialty Chemicals
VIE.PA;0.0154464567463745;Ptf1;2024-12-31;1000.0;25.91947364807129;29.719999313354492;0.5959402168463361;2.264886089098938;Veolia Environnement SA;Industrials;Waste Management
SGO.PA;0.0277079266491237;Ptf1;2024-12-31;1000.0;83.83787536621094;86.95999908447266;0.33049414155706036;1.0318435981018441;Compagnie de Saint-Gobain S.A.;Industrials;Building Products & Equipment
CA.PA;0.0066903039325842;Ptf1;2024-12-31;1000.0;12.620407104492188;14.229999542236328;0.5301179175276217;0.8532737911651319;Carrefour SA;Consumer Defensive;Grocery Stores
ATO.PA;0.0007295402271064;Ptf1;2024-12-31;1000.0;26.0;50.16999816894531;0.028059239504092306;0.678191767435909;Atos SE;Technology;Information Technology Services
AC.PA;0.0072669718757414;Ptf1;2024-12-31;1000.0;45.772186279296875;48.220001220703125;0.15876392338786555;0.38862470382509445;Accor SA;Consumer Cyclical;Lodging
VIV.PA;0.0015215163583118;Ptf1;2024-12-31;1000.0;2.572999954223633;2.365999937057495;0.591339442433413;-0.12240727473473077;Vivendi SE;Communication Services;Entertainment
WLN.PA;0.000246215057666;Ptf1;2024-12-31;1000.0;8.477999687194824;1.562000036239624;0.029041645051943486;-0.20085200704240597;Worldline SA;Technology;Software - Infrastructure
SU.PA;0.0921057815785223;Ptf1;2024-12-31;1000.0;236.6497802734375;234.89999389648438;0.38920712908373917;-0.6810293322837632;Schneider Electric S.E.;Industrials;Specialty Industrial Machinery
CAP.PA;0.0142654959589217;Ptf1;2024-12-31;1000.0;154.58782958984375;142.25;0.0922808477017322;-1.1385453733502962;Capgemini SE;Technology;Information Technology Services
SW.PA;0.0041568367213452;Ptf1;2024-12-31;1000.0;74.96253967285156;43.70000076293945;0.05545218637850714;-1.7335761342977778;Sodexo S.A.;Industrials;Specialty Business Services
RI.PA;0.0125483800364094;Ptf1;2024-12-31;1000.0;103.24869537353516;73.0999984741211;0.12153548275851452;-3.6641364322104177;Pernod Ricard SA;Consumer Defensive;Beverages - Wineries & Distilleries
SAN.PA;0.0646274868351979;Ptf1;2024-12-31;1000.0;89.785400390625;82.72000122070312;0.7197995058665019;-5.085670831259359;Sanofi;Healthcare;Drug Manufacturers - General
GLE.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;26.244787216186523;68.72000122070312;1.465492485982785;62.247106964129834;Société Générale Société anonyme;Financial Services;Banks - Regional
ATO.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;26.0;50.16999816894531;1.4792899408284002;35.75443516116165;Atos SE;Technology;Information Technology Services
HO.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;136.49542236328125;229.8000030517578;0.28177896222170284;26.291267916930064;Thales S.A.;Industrials;Aerospace & Defense
EN.PA;0.0384615384615384;Ptf2;2024-12-31;1000.0;27.077911376953125;44.349998474121094;1.4204027011578984;24.533319167451868;Bouygues SA;Industrials;Engineering & Construction
