ticker;Perf 2024;Perf 2025;Perf 3Y;name;industry;sector;country;currency;marketCap;Vol(3M);Vol(1Y);Vol(3Y)
AAPL;0.3886549402473123;-0.03397481627924104;0.927475672236318;Apple Inc.;Consumer Electronics;Technology;United States;USD;3968587005952;0.1730386940190745;0.32565113708755294;0.26035334751829387
AC.PA;0.40093787347161225;0.05347821767721461;1.2593154250940617;Accor SA;Lodging;Consumer Cyclical;France;EUR;10954288128;0.21955855115538528;0.2852608477727266;0.24263146802768357
ACA.PA;0.10709867444136734;0.41059726206658986;1.2385503566564777;Crédit Agricole S.A.;Banks - Regional;Financial Services;France;EUR;56773652480;0.18388418014680788;0.2051707202949088;0.19379186655653144
AI.PA;-0.0027276205789940056;0.03966718530583502;0.40451549071959625;L'Air Liquide S.A.;Specialty Chemicals;Basic Materials;France;EUR;91923718144;0.12942745814319737;0.174274337665914;0.17073055835896392
AIR.PA;0.1265930523351746;0.31063289243184355;0.8855192752731353;Airbus SE;Aerospace & Defense;Industrials;Netherlands;EUR;152192385024;0.21429590483334626;0.27851853740606947;0.23918530021346338
AMZN;0.5340727635338534;-0.06801480215588884;1.4937004372924085;Amazon.com, Inc.;Internet Retail;Consumer Cyclical;United States;USD;2597294964736;0.3286631739101215;0.3527982917719657;0.3160666987285097
ASML;-0.0193655861718538;0.3804676867007222;0.8262381284910942;ASML Holding N.V.;Semiconductor Equipment & Materials;Technology;Netherlands;USD;559472181248;0.3415012952781858;0.3911197575166173;0.3896502116086449
ASMLF;-0.009389077444890481;0.3654253249192214;0.8234556224781691;ASML Holding N.V.;Semiconductor Equipment & Materials;Technology;Netherlands;USD;560395976704;0.3540625240670978;0.4028557726066038;0.4135566947767813
ATO.PA;-0.950360037257007;0.9296153141902044;-0.9250675202072913;Atos SE;Information Technology Services;Technology;France;EUR;1099714432;0.5386130455080708;0.7136250132079609;3.7927743489401404
AVGO;1.2363449998127938;0.33435821335452554;4.875298072794889;Broadcom Inc.;Semiconductors;Technology;United States;USD;1569883029504;0.517574902780353;0.5383440064471953;0.47087116244973765
B;-0.06810937725824107;1.516220882471151;1.438796923725544;;Gold;Basic Materials;Canada;USD;79387049984;0.4530406977646329;0.3892082833839166;0.3382475912654892
BAC;0.4221011949733693;0.13422722132819898;0.6304062661379237;Bank of America Corporation;Banks - Diversified;Financial Services;United States;USD;394553851904;0.19709274987272327;0.28584188516871883;0.26388074710567355
BN.PA;0.15037662580932576;0.21294840709725582;0.7200737957681265;Danone S.A.;Packaged Foods;Consumer Defensive;France;EUR;45078884352;0.15100893185244765;0.1803050211077029;0.14917012159680068
BNP.PA;0.009881173621508976;0.5014126112167256;0.9064249555295929;BNP Paribas SA;Banks - Regional;Financial Services;France;EUR;103825309696;0.279716946578153;0.2814192321849259;0.2603046903552177
BRK-A;0.3332069013607726;-0.018052673011434428;0.4614261112196796;Berkshire Hathaway Inc.;Insurance - Diversified;Financial Services;United States;USD;1049547046912;0.1377634542879437;0.20140114210775112;0.1739295167061372
BRK-B;0.35024758069957995;-0.01768332384043947;0.4767191231729617;Berkshire Hathaway Inc.;Insurance - Diversified;Financial Services;United States;USD;1051247706112;0.13971571257478949;0.20508187572977982;0.1719178741725341
CA.PA;-0.12448567042219139;0.12753886815356474;0.08044444586045918;Carrefour SA;Grocery Stores;Consumer Defensive;France;EUR;10085014528;0.16835158489115018;0.2247442006935052;0.21687521779675858
CAP.PA;-0.14833692274700228;-0.07981113146215191;-0.03149519752312002;Capgemini SE;Information Technology Services;Technology;France;EUR;21503916032;0.2828584306723413;0.3195854278305393;0.26839945584106156
DG.PA;-0.08635070252763255;0.2531389010294487;0.4483496886984002;Vinci SA;Engineering & Construction;Industrials;France;EUR;68245786624;0.16871262575613336;0.20287986926480137;0.1868124396162444
EN.PA;-0.11768718910887521;0.6378662983537495;0.8608925111234964;Bouygues SA;Engineering & Construction;Industrials;France;EUR;17927995392;0.20966508824933816;0.20631653098161384;0.1910369265476101
ENGI.PA;0.05448485376316525;0.5895168917625473;1.1920398240143344;Engie SA;Utilities - Diversified;Utilities;France;EUR;61552345088;0.13969179372711404;0.1763833220915932;0.16296015227591332
G;0.3363598351538519;-0.0242116217161914;-0.044117477980218034;Genpact Limited;Information Technology Services;Technology;Bermuda;USD;7690539008;0.33481431305936277;0.3351738502417038;0.2904846600494478
GLE.PA;0.16901392775267166;1.6184247810673784;2.374044417540463;Société Générale Société anonyme;Banks - Regional;Financial Services;France;EUR;57288429568;0.28587581389674926;0.34886107313298975;0.3136739525125663
GOOG;0.4408331172998803;0.46532716612461056;2.2335352735470035;Alphabet Inc.;Internet Content & Information;Communication Services;United States;USD;4163575218176;0.29941905290005444;0.32640653501353933;0.29767615978431
GOOGL;0.4449675578243306;0.47042761566812397;2.2437490011514876;Alphabet Inc.;Internet Content & Information;Communication Services;United States;USD;4162815262720;0.3059092086984827;0.33093522956087995;0.2997107405646837
HO.PA;0.0575982772667476;0.6835729658401828;1.0436820485220997;Thales S.A.;Aerospace & Defense;Industrials;France;EUR;53282168832;0.24927947002763523;0.34096557707745484;0.27083986525851483
J;0.31987744393448514;-0.10454144584798952;0.24247066039519027;Jacobs Solutions Inc.;Engineering & Construction;Industrials;United States;USD;16254385152;0.3351265085738111;0.2796472372947426;0.24214658389682803
JNJ;0.01131384158051052;0.30642383845032395;0.16470368139118619;Johnson & Johnson;Drug Manufacturers - General;Healthcare;United States;USD;555944837120;0.15752268892918128;0.19683938790921104;0.17781384846903053
